,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
0,798.0,0.18,0.42,25.0,5.0,2.0
1,241.0,1.01,0.09,25.0,5.0,0.7
2,448.0,1.09,0.21,25.0,5.0,0.9
3,826.0,0.91,0.39,25.0,5.0,1.8
4,895.0,0.9,0.4,25.0,5.0,2.8
5,862.0,0.91,0.39,25.0,5.0,2.1
6,678.0,1.1,0.3,25.0,5.0,2.3
7,304.0,1.06,0.14,25.0,5.0,0.9
8,500.0,0.77,0.23,25.0,5.0,2.2
9,931.0,1.01,0.39,25.0,5.0,3.0
10,675.0,1.13,0.27,25.0,5.0,1.8
11,427.0,0.94,0.16,25.0,5.0,1.4
12,451.0,0.61,0.06,25.0,5.0,2.3
13,862.0,0.91,0.39,25.0,5.0,2.1
14,798.0,0.18,0.42,25.0,10.0,2.0
15,895.0,0.9,0.4,25.0,10.0,3.1
16,862.0,0.91,0.39,25.0,10.0,2.8
17,678.0,1.1,0.3,25.0,10.0,2.9
18,931.0,1.01,0.39,25.0,10.0,3.3
19,675.0,1.13,0.27,25.0,5.0,2.3
20,427.0,0.94,0.16,25.0,5.0,1.8
21,887.0,0.075,0.34700000000000003,25.0,0.04,0.35
22,887.0,0.075,0.34700000000000003,25.0,0.1,0.7
23,887.0,0.075,0.34700000000000003,25.0,0.175,1.05
24,887.0,0.075,0.34700000000000003,25.0,0.35,1.6
25,887.0,0.075,0.34700000000000003,25.0,0.53,1.9
26,887.0,0.075,0.34700000000000003,25.0,0.7,2.21
27,887.0,0.075,0.34700000000000003,25.0,0.87,2.35
28,887.0,0.075,0.34700000000000003,25.0,1.0,2.6
29,618.0,1.115,0.217,25.0,0.04,0.35
30,618.0,1.115,0.217,25.0,0.1,0.7
31,618.0,1.115,0.217,25.0,0.175,1.05
32,618.0,1.115,0.217,25.0,0.35,1.5
33,618.0,1.115,0.217,25.0,0.53,1.8
34,618.0,1.115,0.217,25.0,0.7,2.1
35,618.0,1.115,0.217,25.0,0.87,2.25
36,618.0,1.115,0.217,25.0,1.0,2.4
37,2073.0,0.138,0.0,0.0,1.0,7.17
38,2073.0,0.138,25.0,25.0,1.0,4.21
39,2073.0,0.138,1.0,1.0,1.0,2.47
40,2073.0,0.138,0.731,0.0,10.0,16.44
41,2073.0,0.138,0.731,25.0,10.0,12.74
42,2073.0,0.138,0.731,0.0,9.0,15.2
43,2073.0,0.138,0.731,0.0,8.0,15.5
44,2073.0,0.138,0.731,0.0,7.0,15.2
45,2073.0,0.138,0.731,0.0,6.0,15.0
46,2073.0,0.138,0.731,0.0,5.0,14.2
47,2073.0,0.138,0.731,0.0,4.0,13.0
48,2073.0,0.138,0.731,0.0,3.0,12.0
49,2073.0,0.138,0.731,0.0,2.0,10.4
50,2073.0,0.138,0.731,0.0,0.9,6.5
51,2073.0,0.138,0.731,0.0,0.8,6.0
52,2073.0,0.138,0.731,0.0,0.7,5.7
53,2073.0,0.138,0.731,0.0,0.6,5.2
54,2073.0,0.138,0.731,0.0,0.5,4.8
55,2073.0,0.138,0.731,0.0,0.4,4.1
56,2073.0,0.138,0.731,0.0,0.3,3.4
57,2073.0,0.138,0.731,0.0,0.2,2.6
58,2073.0,0.138,0.731,0.0,0.1,1.5
59,2073.0,0.138,0.731,25.0,0.1,0.7
60,2073.0,0.138,0.731,25.0,0.2,1.3
61,2073.0,0.138,0.731,25.0,0.3,1.75
62,2073.0,0.138,0.731,25.0,0.4,2.25
63,2073.0,0.138,0.731,25.0,0.5,2.5
64,2073.0,0.138,0.731,25.0,0.6,3.0
65,2073.0,0.138,0.731,25.0,0.7,3.25
66,2073.0,0.138,0.731,25.0,0.8,3.6
67,2073.0,0.138,0.731,25.0,0.9,3.7
68,2073.0,0.138,0.731,25.0,1.0,4.0
69,2073.0,0.138,0.731,25.0,2.0,6.8
70,2073.0,0.138,0.731,25.0,3.0,8.0
71,2073.0,0.138,0.731,25.0,4.0,8.8
72,2073.0,0.138,0.731,25.0,5.0,10.2
73,2073.0,0.138,0.731,25.0,6.0,11.0
74,2073.0,0.138,0.731,25.0,7.0,11.5
75,2073.0,0.138,0.731,25.0,8.0,12.0
76,2073.0,0.138,0.731,25.0,9.0,12.5
77,2073.0,0.138,0.731,25.0,10.0,12.6
78,2785.0,0.644,0.716,0.0,1.0,5.09
79,2785.0,0.644,0.716,25.0,1.0,2.81
80,2785.0,0.644,0.716,50.0,1.0,1.52
81,2785.0,0.644,0.716,0.0,10.0,23.27
82,2785.0,0.644,0.716,0.0,0.1,0.9
83,2785.0,0.644,0.716,0.0,0.2,1.5
84,2785.0,0.644,0.716,0.0,0.3,2.1
85,2785.0,0.644,0.716,0.0,0.4,2.5
86,2785.0,0.644,0.716,0.0,0.5,3.0
87,2785.0,0.644,0.716,0.0,0.6,3.5
88,2785.0,0.644,0.716,0.0,0.7,3.9
89,2785.0,0.644,0.716,0.0,0.8,4.2
90,2785.0,0.644,0.716,0.0,0.9,4.5
91,2785.0,0.644,0.716,0.0,2.0,9.6
92,2785.0,0.644,0.716,0.0,3.0,12.3
93,2785.0,0.644,0.716,0.0,4.0,14.0
94,2785.0,0.644,0.716,0.0,5.0,17.0
95,2785.0,0.644,0.716,0.0,6.0,18.5
96,2785.0,0.644,0.716,0.0,7.0,20.0
97,2785.0,0.644,0.716,0.0,8.0,21.3
98,2785.0,0.644,0.716,0.0,9.0,22.0
99,2785.0,0.644,0.716,25.0,0.1,0.4
100,2785.0,0.644,0.716,25.0,0.2,0.7
101,2785.0,0.644,0.716,25.0,0.3,1.1
102,2785.0,0.644,0.716,25.0,0.4,1.35
103,2785.0,0.644,0.716,25.0,0.5,1.6
104,2785.0,0.644,0.716,25.0,0.6,1.75
105,2785.0,0.644,0.716,25.0,0.7,2.0
106,2785.0,0.644,0.716,25.0,0.8,2.3
107,2785.0,0.644,0.716,25.0,0.9,2.5
108,2785.0,0.644,0.716,25.0,2.0,6.0
109,2785.0,0.644,0.716,25.0,3.0,7.5
110,2785.0,0.644,0.716,25.0,4.0,9.0
111,2785.0,0.644,0.716,25.0,5.0,11.0
112,2785.0,0.644,0.716,25.0,6.0,12.5
113,2785.0,0.644,0.716,25.0,7.0,13.0
114,2785.0,0.644,0.716,25.0,8.0,14.0
115,2785.0,0.644,0.716,25.0,9.0,15.5
116,2785.0,0.644,0.716,25.0,10.0,16.05
117,1624.0,0.073,0.589,0.0,6.0,12.0
118,1624.0,0.073,0.589,0.0,8.0,12.8
119,1624.0,0.073,0.589,0.0,3.0,10.5
120,1624.0,0.073,0.589,0.0,0.1,2.0
121,1624.0,0.073,0.589,0.0,0.3,3.7
122,1624.0,0.073,0.589,0.0,0.4,4.5
123,1624.0,0.073,0.589,0.0,0.6,5.6
124,1624.0,0.073,0.589,0.0,0.7,6.2
125,1624.0,0.073,0.589,0.0,0.9,7.0
126,1624.0,0.073,0.589,0.0,0.5,5.1
127,1624.0,0.073,0.589,0.0,0.8,6.5
128,1624.0,0.073,0.589,0.0,0.2,3.0
129,1624.0,0.073,0.589,0.0,2.0,8.5
130,1624.0,0.073,0.589,25.0,0.1,1.0
131,1624.0,0.073,0.589,25.0,0.2,1.6
132,1624.0,0.073,0.589,25.0,0.3,2.25
133,1624.0,0.073,0.589,25.0,0.4,2.6
134,1624.0,0.073,0.589,25.0,0.5,3.01
135,1624.0,0.073,0.589,25.0,0.6,3.4
136,1624.0,0.073,0.589,25.0,0.7,3.75
137,1624.0,0.073,0.589,25.0,0.8,4.05
138,1624.0,0.073,0.589,25.0,0.9,4.2
139,1624.0,0.073,0.589,25.0,2.0,6.25
140,1624.0,0.073,0.589,25.0,3.0,7.5
141,1624.0,0.073,0.589,25.0,4.0,8.75
142,1624.0,0.073,0.589,25.0,5.0,9.0
143,1624.0,0.073,0.589,25.0,6.0,10.0
144,1624.0,0.073,0.589,25.0,7.0,10.7
145,1624.0,0.073,0.589,25.0,8.0,11.0
146,1624.0,0.073,0.589,25.0,9.0,11.2
147,1624.0,0.073,0.589,25.0,10.0,11.5
148,2620.0,0.43200000000000005,0.7929999999999999,0.0,1.0,6.89
149,2620.0,0.43200000000000005,0.7929999999999999,25.0,1.0,4.0
150,2620.0,0.43200000000000005,0.7929999999999999,50.0,1.0,2.38
151,2620.0,0.43200000000000005,0.7929999999999999,0.0,10.0,23.26
152,2620.0,0.43200000000000005,0.7929999999999999,25.0,10.0,16.81
153,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.1,1.4
154,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.2,2.2
155,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.3,3.0
156,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.4,3.4
157,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.5,4.2
158,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.6,4.7
159,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.7,5.4
160,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.8,5.7
161,2620.0,0.43200000000000005,0.7929999999999999,0.0,1.0,6.89
162,2620.0,0.43200000000000005,0.7929999999999999,25.0,1.0,4.0
163,2620.0,0.43200000000000005,0.7929999999999999,50.0,1.0,2.38
164,2620.0,0.43200000000000005,0.7929999999999999,0.0,10.0,23.26
165,2620.0,0.43200000000000005,0.7929999999999999,25.0,10.0,16.81
166,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.1,1.4
167,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.2,2.2
168,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.3,3.0
169,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.4,3.4
170,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.5,4.2
171,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.6,4.7
172,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.7,5.4
173,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.8,5.7
174,2620.0,0.43200000000000005,0.7929999999999999,0.0,0.9,6.4
175,2620.0,0.43200000000000005,0.7929999999999999,0.0,2.0,11.0
176,2620.0,0.43200000000000005,0.7929999999999999,0.0,3.0,13.2
177,2620.0,0.43200000000000005,0.7929999999999999,0.0,4.0,16.2
178,2620.0,0.43200000000000005,0.7929999999999999,0.0,5.0,18.0
179,2620.0,0.43200000000000005,0.7929999999999999,0.0,6.0,19.0
180,2620.0,0.43200000000000005,0.7929999999999999,0.0,7.0,20.5
181,2620.0,0.43200000000000005,0.7929999999999999,0.0,8.0,21.5
182,2620.0,0.43200000000000005,0.7929999999999999,0.0,9.0,22.5
183,2620.0,0.43200000000000005,0.7929999999999999,0.0,10.0,23.0
184,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.1,0.75
185,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.2,1.25
186,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.3,1.6
187,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.4,2.1
188,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.5,2.5
189,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.6,2.7
190,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.7,3.1
191,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.8,3.48
192,2620.0,0.43200000000000005,0.7929999999999999,25.0,0.9,3.7
